Wall time,Step,Value
1543934222.597376,168,-0.6947080492973328
1543934231.4187584,475,-0.7514181733131409
1543934233.201077,537,-0.7645310163497925
1543934234.6301763,587,-0.778843104839325
1543934236.3949864,648,-0.7934433221817017
1543934259.131088,1437,-1.3659294843673706
1543934267.758976,1738,-1.8773020505905151
1543934284.186171,2308,-2.911987781524658
1543934286.5488195,2390,-3.056138515472412
1543934289.3382375,2487,-3.156921863555908
1543934311.2396414,3247,-3.992891788482666
1543934347.32363,4493,-4.738125801086426
1543934365.9238794,5135,-4.907536029815674
1543934388.3618276,5908,-5.129331111907959
1543934390.7632108,5991,-5.1045379638671875
1543934411.3342996,6700,-5.2625017166137695
1543934411.6765032,6712,-5.161449909210205
1543934419.004131,6967,-5.416943550109863
1543934433.3496733,7464,-5.571866035461426
1543934443.027461,7799,-5.76676082611084
1543934444.0296688,7834,-5.78397274017334
1543934454.0635884,8181,-5.9630208015441895
1543934455.2549202,8222,-5.956747055053711
1543934463.3348389,8499,-6.0645551681518555
1543934485.6023843,9261,-6.437351703643799
1543934491.6223361,9469,-6.469210624694824
1543934518.6644,10400,-7.021233558654785
1543934533.3468332,10906,-7.17427921295166
1543934535.1097162,10967,-7.221384048461914
1543934551.5049026,11533,-7.324681758880615
1543934564.2041783,11970,-7.371525287628174
1543934590.544429,12878,-7.6531476974487305
1543934595.1110544,13035,-7.551141738891602
1543934631.4895546,14295,-7.726090431213379
1543934642.2854812,14669,-7.900849342346191
1543934645.4894207,14780,-8.025141716003418
1543934665.479346,15474,-7.994404315948486
1543934684.0363445,16117,-8.183631896972656
1543934705.4214776,16858,-8.384182929992676
1543934718.687126,17318,-8.367096900939941
1543934725.205503,17544,-8.35832405090332
1543934782.6852307,19532,-8.776737213134766
1543934785.802267,19641,-8.666465759277344
1543934788.4351897,19732,-8.841940879821777
1543934797.9472044,20063,-8.64806842803955
1543934811.6117573,20540,-8.992050170898438
1543934812.7315059,20579,-9.045734405517578
1543934818.6005533,20783,-8.720724105834961
1543934820.7049618,20856,-8.751570701599121
1543934827.1966858,21081,-9.22236442565918
1543934829.0399342,21145,-9.36795711517334
1543934834.0944638,21320,-9.36024284362793
1543934863.2713292,22331,-9.167978286743164
1543934864.0806477,22359,-9.302555084228516
1543934890.8856754,23287,-9.026517868041992
1543934893.0508432,23362,-9.07461166381836
1543934894.9481802,23428,-9.069314956665039
1543934901.9587057,23671,-8.883285522460938
1543934902.8427918,23702,-8.881845474243164
1543934915.6895115,24148,-8.603568077087402
1543934920.7421052,24323,-8.28930377960205
1543934932.4094443,24728,-7.691638946533203
1543934938.4011517,24935,-7.648501396179199
1543934947.615922,25254,-7.350493907928467
1543934992.110504,26798,-7.760028839111328
1543935308.6893437,27604,-8.894702911376953
1543935348.0999577,28971,-10.049195289611816
1543935348.8643277,28997,-10.330378532409668
1543935372.9217756,29830,-10.486822128295898
1543935378.0132174,30006,-10.318086624145508
1543935391.5390685,30471,-10.510562896728516
1543935395.716034,30613,-10.47485065460205
1543935398.4822683,30707,-10.684935569763184
1543935418.800448,31407,-10.394362449645996
1543935419.8700652,31444,-10.353278160095215
1543935434.1831222,31937,-10.986979484558105
1543935448.684674,32436,-10.617524147033691
1543935462.0317411,32895,-10.909184455871582
1543935462.2624166,32903,-10.915312767028809
1543935470.3869197,33182,-10.725767135620117
1543935475.9812496,33376,-11.068617820739746
1543935486.5022745,33738,-11.235355377197266
1543935486.8489974,33750,-11.252138137817383
1543935487.8991852,33786,-10.831056594848633
1543935489.459882,33840,-10.571378707885742
1543935490.5312607,33877,-10.516252517700195
1543935491.598646,33914,-10.719399452209473
1543935504.6358972,34363,-10.456624031066895
1543935509.34331,34526,-10.750022888183594
1543935511.48702,34600,-10.977789878845215
1543935537.1643834,35484,-10.992599487304688
1543935550.8175619,35954,-10.65318775177002
1543935553.2753384,36038,-11.233548164367676
1543935570.5475852,36630,-10.79255199432373
1543935571.4180558,36660,-11.19690990447998
1543935576.9759815,36851,-10.833139419555664
1543935587.2527003,37203,-10.826444625854492
1543935595.5873969,37490,-10.59089183807373
1543935603.5579586,37765,-10.803177833557129
1543935606.8114893,37877,-10.802227020263672
1543935631.2637846,38721,-10.610994338989258
1543935634.718092,38841,-10.54833698272705
1543935647.896159,39297,-11.255022048950195
1543935659.6256647,39703,-11.304424285888672
1543935689.0078251,40721,-11.047233581542969
1543935691.1533186,40794,-11.115837097167969
1543935705.0648305,41272,-10.835492134094238
1543935730.006999,42135,-11.123723030090332
1543935739.6490684,42469,-10.899543762207031
1543935773.403655,43640,-11.359103202819824
1543935775.469567,43712,-11.073274612426758
1543935778.1808155,43806,-11.175264358520508
1543935783.6059997,43994,-10.935077667236328
1543935789.5817046,44201,-10.909171104431152
1543935791.0491977,44252,-10.733022689819336
1543935792.5804129,44305,-10.884334564208984
1543935807.3514025,44817,-11.317493438720703
1543935811.6084287,44965,-10.984358787536621
1543935823.3375902,45373,-11.208559036254883
1543935827.2239306,45508,-11.099925994873047
1543935831.5350823,45659,-11.101703643798828
1543935850.9387124,46335,-11.366992950439453
1543935853.2084541,46414,-11.187328338623047
1543935878.8251278,47302,-11.424943923950195
1543935891.5873108,47745,-11.125688552856445
1543935898.1177096,47971,-11.154671669006348
1543935904.177745,48182,-10.880117416381836
1543935935.6167622,49273,-11.055448532104492
1543935937.891605,49352,-10.946039199829102
1543935958.2078767,50057,-11.0151948928833
1543935980.2094684,50820,-11.304618835449219
1543935989.3081446,51135,-11.352737426757812
1543935992.0045803,51228,-11.207172393798828
1543936008.585386,51799,-10.930865287780762
1543936034.2036831,52683,-11.505367279052734
1543936040.7015243,52907,-11.551108360290527
1543936041.6666527,52940,-11.735686302185059
1543936046.0739043,53093,-11.104633331298828
1543936056.9382815,53469,-11.572495460510254
1543936068.31996,53863,-11.532877922058105
1543936388.3148575,54808,-11.400153160095215
1543936432.3512552,56338,-11.314023971557617
1543936437.6346617,56522,-11.721223831176758
1543936446.2431448,56821,-11.216718673706055
1543936501.3351288,58720,-11.51576042175293
1543936502.1166632,58747,-11.616397857666016
1543936502.6070945,58764,-11.564957618713379
1543936517.1401167,59265,-11.406320571899414
1543936543.6986992,60180,-11.723812103271484
1543936543.8730354,60186,-11.436553001403809
1543936552.271976,60476,-11.193686485290527
1543936600.650586,62140,-11.849964141845703
1543936612.5675523,62548,-11.466118812561035
1543936645.4144177,63672,-11.746227264404297
1543936670.2026005,64522,-11.573251724243164
1543936702.7109396,65644,-11.601221084594727
1543936735.8780138,66788,-11.243949890136719
1543936741.3822136,66977,-11.949159622192383
1543936742.686277,67022,-11.375136375427246
1543936754.8807998,67441,-11.741156578063965
1543936805.2597349,69186,-11.405579566955566
1543936813.1601126,69456,-11.30819034576416
1543936820.8266985,69720,-11.902507781982422
1543936826.5430505,69916,-12.012616157531738
1543936842.601633,70463,-11.157136917114258
1543936846.0711806,70581,-11.276250839233398
1543936848.2983384,70657,-11.656524658203125
1543936858.331177,70997,-11.499083518981934
1543936870.9798956,71429,-11.313584327697754
1543936884.9819458,71907,-11.802315711975098
1543936886.4752643,71958,-11.455251693725586
1543936887.1248522,71980,-11.830068588256836
1543936888.0993586,72013,-11.271631240844727
1543936888.8287153,72038,-11.68696117401123
1543936896.51117,72298,-11.893370628356934
1543936908.9933174,72724,-11.595987319946289
1543936917.4535854,73010,-11.22087574005127
1543936990.1353426,75488,-11.237883567810059
1543937011.4132614,76219,-11.161697387695312
1543937019.1590757,76483,-11.61336612701416
1543937024.6975155,76674,-11.596208572387695
1543937031.4556947,76907,-12.00607681274414
1543937031.6649506,76914,-11.375337600708008
1543937069.6573098,78209,-11.779879570007324
1543937090.7370212,78921,-11.643031120300293
1543937092.3257873,78974,-11.680310249328613
1543937093.2767465,79006,-11.639717102050781
1543937125.7843852,80101,-11.481023788452148
1543937134.409833,80391,-11.963303565979004
1543937134.8835018,80407,-11.933231353759766
1543937141.0092149,80614,-11.553461074829102
1543937152.5419462,80997,-11.60726261138916
1543937153.105398,81016,-11.891916275024414
1543937525.7068238,83268,-11.718454360961914
1543937559.0209415,84410,-11.852300643920898
1543937564.6702704,84602,-11.670777320861816
1543937579.0081985,85090,-11.738533973693848
1543937606.017193,86015,-12.122161865234375
1543937628.31474,86781,-11.752117156982422
1543937630.8099225,86866,-11.683775901794434
1543937635.005573,87009,-11.760735511779785
1543937646.2481558,87394,-11.688529968261719
1543937668.0831487,88138,-11.722297668457031
1543937683.8731873,88675,-11.88247299194336
1543937703.6292613,89348,-12.014283180236816
1543937704.1033063,89364,-11.663843154907227
1543937722.0264473,89974,-11.87136459350586
1543937729.7577236,90238,-11.643699645996094
1543937760.8974986,91301,-11.870214462280273
1543937770.4133456,91625,-11.623574256896973
1543937771.0857716,91648,-11.406768798828125
1543937784.902245,92121,-11.638858795166016
1543937804.4879565,92789,-11.65945053100586
1543937817.2896202,93224,-11.938272476196289
1543937824.5298336,93472,-12.2601318359375
1543937837.191097,93902,-11.726996421813965
1543937862.9262993,94785,-11.904448509216309
1543937870.8184576,95058,-11.5414400100708
1543937880.2194638,95378,-11.378103256225586
1543937883.2268746,95481,-12.160895347595215
1543937906.986982,96302,-11.64895248413086
1543937913.7713687,96536,-11.613418579101562
1543937955.7298186,97987,-12.1112642288208
1543937969.7837377,98475,-11.98853588104248
1543937986.475594,99056,-11.914578437805176
1543938010.396968,99885,-11.977516174316406
1543938030.644073,100590,-11.878527641296387
1543938038.4104667,100859,-11.289783477783203
1543938040.109393,100918,-11.804069519042969
1543938044.586533,101073,-11.417959213256836
1543938052.1583498,101336,-11.938497543334961
1543938069.1192122,101924,-11.323325157165527
1543938069.6946,101944,-11.62439250946045
1543938096.6576133,102881,-11.535569190979004
1543938097.5591903,102912,-12.455586433410645
1543938099.1422262,102967,-11.70124626159668
1543938100.150217,103002,-11.715837478637695
1543938100.441297,103012,-11.991954803466797
1543938114.999069,103518,-12.121254920959473
1543938127.4223795,103948,-11.965781211853027
1543938136.9889438,104277,-11.945457458496094
1543938138.6623275,104335,-11.946687698364258
1543938154.8574197,104897,-11.973587989807129
1543938155.6632578,104925,-12.245018005371094
1543938160.5527327,105094,-12.035619735717773
1543938170.3710575,105435,-11.995600700378418
1543938180.1871598,105775,-12.071356773376465
1543938180.5868628,105789,-11.869765281677246
1543938194.5248687,106268,-11.591673851013184
1543938203.118964,106567,-11.865206718444824
1543938239.7535567,107838,-11.65455150604248
1543938555.058421,108587,-12.231344223022461
1543938575.7159457,109302,-12.340585708618164
1543938590.7841733,109823,-12.005188941955566
1543938602.4735017,110225,-11.964149475097656
1543938608.1071086,110419,-12.439268112182617
1543938614.5572636,110642,-12.18068790435791
1543938634.3086185,111324,-11.937047004699707
1543938645.1751661,111699,-11.984742164611816
1543938680.0071502,112903,-11.88194751739502
1543938692.1459746,113323,-12.103235244750977
1543938704.261223,113742,-12.258337020874023
1543938711.1731138,113981,-12.063797950744629
1543938720.2511072,114293,-11.8349609375
1543938743.5770073,115097,-12.0250244140625
1543938755.5484567,115507,-11.33972454071045
1543938755.8931837,115519,-11.734742164611816
1543938766.334899,115879,-11.656323432922363
1543938789.3462722,116674,-12.307316780090332
1543938790.4467976,116712,-12.135889053344727
1543938792.5439286,116784,-11.436907768249512
1543938800.2038062,117048,-11.660783767700195
1543938817.4045296,117636,-11.296777725219727
1543938822.8960927,117826,-12.001203536987305
1543938826.2502744,117942,-12.120481491088867
1543938833.4623268,118191,-11.628300666809082
1543938920.3852646,121193,-11.735074996948242
1543938920.4142518,121194,-11.889854431152344
1543938924.445168,121333,-11.819948196411133
1543938926.4879823,121404,-11.928279876708984
1543938938.9998963,121836,-11.843392372131348
1543938949.6988423,122206,-11.689776420593262
1543938961.7342255,122623,-11.581549644470215
1543938962.0798533,122635,-11.315023422241211
1543938974.6577017,123069,-11.693990707397461
1543938991.9429362,123667,-11.62823486328125
1543939007.357217,124198,-11.824610710144043
1543939038.9085655,125291,-11.573698043823242
1543939104.3033526,127543,-11.504146575927734
1543939107.0725682,127638,-11.702360153198242
1543939151.2255068,129147,-11.702866554260254
1543939156.2203271,129319,-12.034998893737793
1543939158.8034778,129407,-11.88033676147461
1543939161.5887284,129503,-12.175150871276855
1543939178.1680806,130072,-12.133777618408203
1543939224.8663006,131681,-11.892918586730957
1543939226.4438171,131735,-11.709701538085938
1543939230.5815318,131877,-11.442428588867188
1543939253.8355274,132677,-11.566715240478516
1543939288.1628258,133861,-11.62364387512207
1543939303.146585,134377,-12.065081596374512
1543939303.5273955,134390,-12.12785816192627
1543939306.0009706,134475,-12.12664794921875
1543939317.6745653,134878,-11.682071685791016
1543939339.0343387,135616,-11.84843635559082
1543939650.8818061,136210,-11.787843704223633
1543939664.5503857,136674,-11.858823776245117
1543939664.6965806,136679,-12.453804969787598
1543939675.70573,137056,-12.118511199951172
