Wall time,Step,Value
1543934222.597376,168,0.4047619104385376
1543934231.4187584,475,0.007874015718698502
1543934233.201077,537,0.0
1543934234.6301763,587,0.007936508394777775
1543934236.3949864,648,0.0
1543934259.131088,1437,0.0
1543934267.758976,1738,0.0
1543934284.186171,2308,0.0
1543934286.5488195,2390,0.0
1543934289.3382375,2487,0.0
1543934311.2396414,3247,0.0
1543934347.32363,4493,0.0
1543934365.9238794,5135,0.0
1543934388.3618276,5908,0.0
1543934390.7632108,5991,0.0
1543934411.3342996,6700,0.0
1543934411.6765032,6712,0.0
1543934419.004131,6967,0.0
1543934433.3496733,7464,0.0
1543934443.027461,7799,0.0
1543934444.0296688,7834,0.0
1543934454.0635884,8181,0.0
1543934455.2549202,8222,0.0
1543934463.3348389,8499,0.0
1543934485.6023843,9261,0.0
1543934491.6223361,9469,0.0
1543934518.6644,10400,0.0
1543934533.3468332,10906,0.0
1543934535.1097162,10967,0.0
1543934551.5049026,11533,0.0
1543934564.2041783,11970,0.0
1543934590.544429,12878,0.0
1543934595.1110544,13035,0.0
1543934631.4895546,14295,0.0
1543934642.2854812,14669,0.0
1543934645.4894207,14780,0.0
1543934665.479346,15474,0.0
1543934684.0363445,16117,0.0
1543934705.4214776,16858,0.0
1543934718.687126,17318,0.0
1543934725.205503,17544,0.0
1543934782.6852307,19532,0.0
1543934785.802267,19641,0.0
1543934788.4351897,19732,0.0
1543934797.9472044,20063,0.0
1543934811.6117573,20540,0.0
1543934812.7315059,20579,0.0
1543934818.6005533,20783,0.0
1543934820.7049618,20856,0.0
1543934827.1966858,21081,0.0
1543934829.0399342,21145,0.0
1543934834.0944638,21320,0.0
1543934863.2713292,22331,0.0
1543934864.0806477,22359,0.0
1543934890.8856754,23287,0.0
1543934893.0508432,23362,0.0
1543934894.9481802,23428,0.0
1543934901.9587057,23671,0.0
1543934902.8427918,23702,0.0
1543934915.6895115,24148,0.0
1543934920.7421052,24323,0.0
1543934932.4094443,24728,0.0
1543934938.4011517,24935,0.0
1543934947.615922,25254,0.0
1543934992.110504,26798,0.0
1543935308.6893437,27604,0.0
1543935348.0999577,28971,0.0
1543935348.8643277,28997,0.0
1543935372.9217756,29830,0.0
1543935378.0132174,30006,0.0
1543935391.5390685,30471,0.0
1543935395.716034,30613,0.0
1543935398.4822683,30707,0.0
1543935418.800448,31407,0.0
1543935419.8700652,31444,0.0
1543935434.1831222,31937,0.0
1543935448.684674,32436,0.0
1543935462.0317411,32895,0.0
1543935462.2624166,32903,0.0
1543935470.3869197,33182,0.0
1543935475.9812496,33376,0.0
1543935486.5022745,33738,0.0
1543935486.8489974,33750,0.0
1543935487.8991852,33786,0.0
1543935489.459882,33840,0.0
1543935490.5312607,33877,0.0
1543935491.598646,33914,0.0
1543935504.6358972,34363,0.0
1543935509.34331,34526,0.0
1543935511.48702,34600,0.0
1543935537.1643834,35484,0.0
1543935550.8175619,35954,0.0
1543935553.2753384,36038,0.0
1543935570.5475852,36630,0.0
1543935571.4180558,36660,0.0
1543935576.9759815,36851,0.0
1543935587.2527003,37203,0.0
1543935595.5873969,37490,0.0
1543935603.5579586,37765,0.0
1543935606.8114893,37877,0.0
1543935631.2637846,38721,0.0
1543935634.718092,38841,0.0
1543935647.896159,39297,0.0
1543935659.6256647,39703,0.0
1543935689.0078251,40721,0.0
1543935691.1533186,40794,0.0
1543935705.0648305,41272,0.0
1543935730.006999,42135,0.0
1543935739.6490684,42469,0.0
1543935773.403655,43640,0.0
1543935775.469567,43712,0.0
1543935778.1808155,43806,0.0
1543935783.6059997,43994,0.0
1543935789.5817046,44201,0.0
1543935791.0491977,44252,0.0
1543935792.5804129,44305,0.0
1543935807.3514025,44817,0.0
1543935811.6084287,44965,0.0
1543935823.3375902,45373,0.0
1543935827.2239306,45508,0.0
1543935831.5350823,45659,0.0
1543935850.9387124,46335,0.0
1543935853.2084541,46414,0.0
1543935878.8251278,47302,0.0
1543935891.5873108,47745,0.0
1543935898.1177096,47971,0.0
1543935904.177745,48182,0.0
1543935935.6167622,49273,0.0
1543935937.891605,49352,0.0
1543935958.2078767,50057,0.0
1543935980.2094684,50820,0.0
1543935989.3081446,51135,0.0
1543935992.0045803,51228,0.0
1543936008.585386,51799,0.0
1543936034.2036831,52683,0.0
1543936040.7015243,52907,0.0
1543936041.6666527,52940,0.0
1543936046.0739043,53093,0.0
1543936056.9382815,53469,0.0
1543936068.31996,53863,0.0
1543936388.3148575,54808,0.0
1543936432.3512552,56338,0.0
1543936437.6346617,56522,0.0
1543936446.2431448,56821,0.0
1543936501.3351288,58720,0.0
1543936502.1166632,58747,0.0
1543936502.6070945,58764,0.0
1543936517.1401167,59265,0.0
1543936543.6986992,60180,0.0
1543936543.8730354,60186,0.0
1543936552.271976,60476,0.0
1543936600.650586,62140,0.0
1543936612.5675523,62548,0.0
1543936645.4144177,63672,0.0
1543936670.2026005,64522,0.0
1543936702.7109396,65644,0.0
1543936735.8780138,66788,0.0
1543936741.3822136,66977,0.0
1543936742.686277,67022,0.0
1543936754.8807998,67441,0.0
1543936805.2597349,69186,0.0
1543936813.1601126,69456,0.0
1543936820.8266985,69720,0.0
1543936826.5430505,69916,0.0
1543936842.601633,70463,0.0
1543936846.0711806,70581,0.0
1543936848.2983384,70657,0.0
1543936858.331177,70997,0.0
1543936870.9798956,71429,0.0
1543936884.9819458,71907,0.0
1543936886.4752643,71958,0.0
1543936887.1248522,71980,0.0
1543936888.0993586,72013,0.0
1543936888.8287153,72038,0.0
1543936896.51117,72298,0.0
1543936908.9933174,72724,0.0
1543936917.4535854,73010,0.0
1543936990.1353426,75488,0.0
1543937011.4132614,76219,0.0
1543937019.1590757,76483,0.0
1543937024.6975155,76674,0.0
1543937031.4556947,76907,0.0
1543937031.6649506,76914,0.0
1543937069.6573098,78209,0.0
1543937090.7370212,78921,0.0
1543937092.3257873,78974,0.0
1543937093.2767465,79006,0.0
1543937125.7843852,80101,0.0
1543937134.409833,80391,0.0
1543937134.8835018,80407,0.0
1543937141.0092149,80614,0.0
1543937152.5419462,80997,0.0
1543937153.105398,81016,0.0
1543937525.7068238,83268,0.0
1543937559.0209415,84410,0.0
1543937564.6702704,84602,0.0
1543937579.0081985,85090,0.0
1543937606.017193,86015,0.0
1543937628.31474,86781,0.0
1543937630.8099225,86866,0.0
1543937635.005573,87009,0.0
1543937646.2481558,87394,0.0
1543937668.0831487,88138,0.0
1543937683.8731873,88675,0.0
1543937703.6292613,89348,0.0
1543937704.1033063,89364,0.0
1543937722.0264473,89974,0.0
1543937729.7577236,90238,0.0
1543937760.8974986,91301,0.0
1543937770.4133456,91625,0.0
1543937771.0857716,91648,0.0
1543937784.902245,92121,0.0
1543937804.4879565,92789,0.0
1543937817.2896202,93224,0.0
1543937824.5298336,93472,0.0
1543937837.191097,93902,0.0
1543937862.9262993,94785,0.0
1543937870.8184576,95058,0.0
1543937880.2194638,95378,0.0
1543937883.2268746,95481,0.0
1543937906.986982,96302,0.0
1543937913.7713687,96536,0.0
1543937955.7298186,97987,0.0
1543937969.7837377,98475,0.0
1543937986.475594,99056,0.0
1543938010.396968,99885,0.0
1543938030.644073,100590,0.0
1543938038.4104667,100859,0.0
1543938040.109393,100918,0.0
1543938044.586533,101073,0.0
1543938052.1583498,101336,0.0
1543938069.1192122,101924,0.0
1543938069.6946,101944,0.0
1543938096.6576133,102881,0.0
1543938097.5591903,102912,0.0
1543938099.1422262,102967,0.0
1543938100.150217,103002,0.0
1543938100.441297,103012,0.0
1543938114.999069,103518,0.0
1543938127.4223795,103948,0.0
1543938136.9889438,104277,0.0
1543938138.6623275,104335,0.0
1543938154.8574197,104897,0.0
1543938155.6632578,104925,0.0
1543938160.5527327,105094,0.0
1543938170.3710575,105435,0.0
1543938180.1871598,105775,0.0
1543938180.5868628,105789,0.0
1543938194.5248687,106268,0.0
1543938203.118964,106567,0.0
1543938239.7535567,107838,0.0
1543938555.058421,108587,0.0
1543938575.7159457,109302,0.0
1543938590.7841733,109823,0.0
1543938602.4735017,110225,0.0
1543938608.1071086,110419,0.0
1543938614.5572636,110642,0.0
1543938634.3086185,111324,0.0
1543938645.1751661,111699,0.0
1543938680.0071502,112903,0.0
1543938692.1459746,113323,0.0
1543938704.261223,113742,0.0
1543938711.1731138,113981,0.0
1543938720.2511072,114293,0.0
1543938743.5770073,115097,0.0
1543938755.5484567,115507,0.0
1543938755.8931837,115519,0.0
1543938766.334899,115879,0.0
1543938789.3462722,116674,0.0
1543938790.4467976,116712,0.0
