Wall time,Step,Value
1542063511.766589,43,-0.7394883632659912
1542063513.2401695,95,-0.7380167245864868
1542063515.2540746,168,-0.7395490407943726
1542063516.995732,230,-0.7484209537506104
1542063517.1334653,235,-0.7500820159912109
1542063518.1982899,274,-0.7548683285713196
1542063519.1823697,309,-0.7610087990760803
1542063519.2378943,311,-0.7608245015144348
1542063519.4590023,319,-0.765335738658905
1542063523.8291495,475,-0.7987378835678101
1542063525.5268,537,-0.8181436657905579
1542063526.7025797,580,-0.828443706035614
1542063526.8948884,587,-0.8298199772834778
1542063528.2132306,635,-0.8429591655731201
1542063528.5694537,648,-0.850006103515625
1542063530.4725876,715,-0.8674598336219788
1542063533.198653,809,-0.8982147574424744
1542063539.0978746,1015,-0.9761006236076355
1542063540.5079997,1067,-1.0040764808654785
1542063547.4122808,1317,-1.151424527168274
1542063547.8712912,1334,-1.1576992273330688
1542063547.98057,1338,-1.1631362438201904
1542063549.32463,1386,-1.2010513544082642
1542063549.5159867,1393,-1.1997450590133667
1542063550.7202702,1437,-1.233110785484314
1542063557.7196727,1692,-1.4346727132797241
1542063558.9014919,1735,-1.4703621864318848
1542063558.984758,1738,-1.4617284536361694
1542063562.8754117,1878,-1.5956602096557617
1542063563.9947655,1918,-1.6323933601379395
1542063567.282338,2037,-1.700249433517456
1542063569.0031152,2097,-1.737596035003662
1542063571.876957,2200,-1.7709214687347412
1542063573.5998278,2263,-1.7885440587997437
1542063574.858193,2308,-1.7787073850631714
1542063577.1172364,2390,-1.8116508722305298
1542063578.4123635,2437,-1.8210185766220093
1542063579.7845206,2486,-1.8201701641082764
1542063579.812388,2487,-1.8163453340530396
1542063580.1480794,2499,-1.8137809038162231
1542063581.099016,2533,-1.8109062910079956
1542063585.3446841,2686,-1.7967431545257568
1542063586.8695168,2741,-1.7731575965881348
1542063595.1414478,3039,-1.6815681457519531
1542063600.4272294,3231,-1.9568125009536743
1542063600.876267,3247,-1.9794787168502808
1542063602.5232284,3306,-2.0774612426757812
1542063611.0809686,3619,-1.855346441268921
1542063611.1365063,3621,-1.8469452857971191
