Wall time,Step,Value
1542063511.766589,43,0.004310344811528921
1542063513.2401695,95,0.0
1542063515.2540746,168,0.0
1542063516.995732,230,0.0
1542063517.1334653,235,0.0
1542063518.1982899,274,0.0
1542063519.1823697,309,0.0
1542063519.2378943,311,0.0
1542063519.4590023,319,0.0
1542063523.8291495,475,0.0
1542063525.5268,537,0.0
1542063526.7025797,580,0.0
1542063526.8948884,587,0.0
1542063528.2132306,635,0.0
1542063528.5694537,648,0.0
1542063530.4725876,715,0.0
1542063533.198653,809,0.0
1542063539.0978746,1015,0.0
1542063540.5079997,1067,0.0
1542063547.4122808,1317,0.0
1542063547.8712912,1334,0.0
1542063547.98057,1338,0.0
1542063549.32463,1386,0.0
1542063549.5159867,1393,0.0
1542063550.7202702,1437,0.0
1542063557.7196727,1692,0.0
1542063558.9014919,1735,0.0
1542063558.984758,1738,0.0
1542063562.8754117,1878,0.0
1542063563.9947655,1918,0.0
1542063567.282338,2037,0.0
1542063569.0031152,2097,0.0
1542063571.876957,2200,0.0
1542063573.5998278,2263,0.0
1542063574.858193,2308,0.0
1542063577.1172364,2390,0.0
1542063578.4123635,2437,0.0
1542063579.7845206,2486,0.0
1542063579.812388,2487,0.0
1542063580.1480794,2499,0.0
1542063581.099016,2533,0.0
1542063585.3446841,2686,0.0
1542063586.8695168,2741,0.0
1542063595.1414478,3039,0.0
1542063600.4272294,3231,0.0
1542063600.876267,3247,0.0
1542063602.5232284,3306,0.0
1542063611.0809686,3619,0.0
1542063611.1365063,3621,0.0
1542063612.478565,3671,0.0
1542063614.3695965,3742,0.0
1542063616.4317777,3815,0.0
1542063616.6180582,3822,0.0
1542063619.5421352,3929,0.0
1542063620.300599,3957,0.0
1542063622.4902296,4037,0.0
1542063626.948419,4197,0.0
1542063630.2892482,4318,0.0
1542063632.520857,4401,0.0
1542063635.0016522,4493,0.0
1542063635.4970505,4510,0.0
1542063639.9529393,4669,0.0
1542063640.1760125,4677,0.0
1542063643.3234391,4789,0.0
1542063648.467268,4972,0.0
1542063652.400332,5107,0.0
1542063653.1652126,5135,0.0
1542063659.0439596,5346,0.0
1542063659.4238908,5360,0.0
1542063664.732122,5550,0.0
1542063668.393586,5680,0.0
1542063669.5935464,5724,0.0
1542063671.9663951,5809,0.0
1542063673.5122268,5865,0.0
1542063673.7065945,5872,0.0
1542063674.786656,5908,0.0
1542063677.12601,5991,0.0
1542063682.983413,6201,0.0
1542063683.5153675,6220,0.004273504484444857
1542063685.479144,6290,0.0
1542063693.487977,6575,0.0
1542063694.3644958,6604,0.0
1542063697.347834,6700,0.0
1542063697.7090719,6712,0.0
1542063702.0985427,6855,0.0
1542063705.3715074,6967,0.0
1542063709.445592,7115,0.0
1542063710.5833862,7156,0.0
1542063716.8053267,7383,0.0
1542063718.9342687,7461,0.0
1542063719.0182118,7464,0.0
1542063720.3174486,7512,0.0
1542063728.123647,7789,0.0
1542063728.4086921,7799,0.0
1542063729.376785,7834,0.0
1542063733.734038,7992,0.0
1542063735.8719316,8067,0.0
1542063739.0545328,8181,0.0
1542063740.2634728,8222,0.0
1542063744.5472078,8364,0.00913241971284151
1542063744.9354124,8378,0.004444444552063942
1542063748.326136,8499,0.013274336233735085
1542063748.59759,8509,0.012765957042574883
1542063751.1654067,8602,0.0044247787445783615
1542063758.9321792,8879,0.0
1542063760.313331,8929,0.004566209856420755
1542063760.5100238,8936,0.004310344811528921
1542063762.131331,8994,0.004385964944958687
1542063769.5885284,9261,0.0
1542063775.3853374,9469,0.0
1542063777.7540371,9555,0.0
1542063778.1067245,9568,0.0
1542063781.2209857,9681,0.0
1542063781.704532,9699,0.0
1542063785.7170238,9844,0.0
1542063787.5382783,9908,0.0
1542063797.6835082,10277,0.0
1542063797.8730366,10284,0.0
1542063801.1073987,10400,0.0
1542063803.2837737,10480,0.0
1542063804.451712,10523,0.0
1542063806.8436086,10608,0.0
1542063810.9394062,10758,0.0
1542063810.9675324,10759,0.0
1542063811.5743132,10781,0.0
1542063813.5336835,10851,0.0
1542063814.962791,10903,0.0
1542063815.0432513,10906,0.0
1542063816.7207072,10967,0.0
1542063816.9439454,10975,0.0
1542063818.2443352,11021,0.0
1542063820.533575,11103,0.0
1542063829.2969394,11420,0.0
1542063830.7313402,11473,0.008474576286971569
1542063831.2850914,11493,0.0
1542063832.4572585,11533,0.0
1542063833.3905482,11567,0.0
1542063836.6591544,11686,0.0
1542063838.723718,11760,0.0
1542063844.628406,11970,0.0
1542063844.7649276,11975,0.0
1542063849.3841717,12139,0.0
1542063850.088503,12165,0.0
1542063853.6048172,12291,0.0
1542063864.1645615,12672,0.0
1542063869.9536695,12878,0.0
1542063871.6733391,12940,0.0044247787445783615
1542063874.304817,13035,0.0
1542063875.0537753,13062,0.0
1542063875.6296756,13083,0.0
1542063875.9602334,13095,0.0
1542063876.378176,13110,0.0
1542063884.6691816,13403,0.0
1542063888.7856824,13547,0.0
1542063890.2178755,13598,0.0
1542063890.847134,13621,0.0
1542063896.1258628,13811,0.0
1542063898.2549706,13885,0.0
1542063903.9797585,14081,0.0
1542063907.9862242,14222,0.0
1542063910.0684457,14295,0.0
1542063910.794631,14321,0.0
1542063911.2989368,14339,0.0
1542063912.988366,14398,0.0043290043249726295
1542063914.4931765,14448,0.0
1542063920.1005058,14633,0.0
1542063920.276459,14639,0.0
1542063921.1506546,14669,0.0
1542063921.690615,14688,0.0
1542063924.3035133,14780,0.0
1542063925.1556857,14810,0.0
1542063926.9794664,14874,0.0
1542063927.516305,14893,0.0
1542064087.11836,15091,0.0
1542064089.6580338,15181,0.0
1542064093.5981426,15325,0.0
1542064097.7769392,15474,0.0
1542064097.832919,15476,0.0
1542064098.7135644,15508,0.0
1542064105.198808,15741,0.0
1542064105.8478687,15765,0.0
1542064115.5946174,16117,0.0
1542064119.3220356,16250,0.0
1542064121.2967033,16322,0.0
1542064131.8527834,16698,0.0
1542064135.0290065,16810,0.0
1542064136.3963466,16858,0.0
1542064137.5776467,16900,0.0
1542064142.2946906,17067,0.0
1542064143.168988,17098,0.0
1542064147.1564012,17240,0.0
1542064148.6842282,17293,0.0
1542064149.3837888,17318,0.0
1542064150.0007734,17340,0.0
1542064155.7265851,17544,0.0
1542064156.1145349,17558,0.004385964944958687
1542064156.9397123,17587,0.0
1542064157.164629,17595,0.0
1542064167.2250888,17954,0.0
1542064169.0954914,18019,0.0
1542064170.4099958,18066,0.0
1542064181.2038343,18452,0.0
1542064195.5649357,18959,0.004201680887490511
1542064199.9782388,19117,0.0
1542064201.4767673,19170,0.0
1542064204.3061063,19272,0.3171806037425995
1542064211.7085614,19532,0.5128205418586731
1542064214.8195007,19641,0.5774058699607849
1542064215.2096317,19655,0.5796459913253784
1542064217.401564,19732,0.6044444441795349
1542064220.5887587,19847,0.5594713687896729
1542064223.2003036,19939,0.5930736064910889
1542064224.7891335,19996,0.7758620977401733
1542064225.8858817,20036,0.8640350699424744
1542064226.3876164,20054,0.8669527769088745
1542064226.6375961,20063,0.8425531983375549
1542064228.8062084,20139,0.8734177350997925
1542064231.697616,20245,0.9102563858032227
1542064231.921067,20253,0.9364407062530518
1542064233.9116032,20324,0.95652174949646
1542064237.2399678,20441,0.9869565367698669
1542064238.4954093,20486,0.9865471124649048
1542064240.0371664,20540,0.9911894202232361
1542064240.06618,20541,1.0
1542064240.670458,20563,0.9956140518188477
1542064241.1427727,20579,1.0
1542064246.8512475,20780,1.0
1542064246.9440877,20783,0.9957805871963501
1542064248.3248637,20832,1.0
1542064248.9930813,20856,1.0
1542064255.179426,21081,1.0
1542064256.9594767,21145,1.0
1542064258.75672,21210,1.0
1542064259.3951476,21233,1.0
1542064261.860045,21320,1.0
1542064262.000297,21325,1.0
1542064263.8658311,21392,1.0
1542064267.5582876,21524,1.0
1542064271.9268699,21682,1.0
1542064275.977527,21822,1.0
1542064276.7273412,21849,1.0
1542064281.0967853,22007,1.0
1542064287.7256143,22246,1.0
1542064289.0763044,22293,1.0
1542064290.1226902,22331,1.0
1542064290.901674,22359,1.0
1542064294.1470432,22473,1.0
1542064302.3759298,22766,1.0
1542064304.4693882,22841,1.0
1542064312.842763,23139,1.0
1542064313.1333635,23149,1.0
1542064314.3721857,23193,1.0
1542064315.1295483,23219,1.0
1542064316.4781785,23264,1.0
1542064317.1620016,23287,1.0
1542064319.4057012,23362,1.0
1542064321.4024868,23428,1.0
1542064324.9041991,23541,1.0
1542064328.543927,23671,1.0
1542064328.8673093,23682,1.0
1542064329.4468305,23702,1.0
1542064336.115482,23939,1.0
1542064340.029026,24080,0.9957805871963501
1542064341.1142445,24119,1.0
1542064341.9110796,24148,1.0
